Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Chris Bosh,TOR,04_05,16.8,8.9,1.9,0.402,0
Tony Parker,SAS,04_05,16.6,3.7,6.1,0.72,0
Chauncey Billups,DET,04_05,16.5,3.4,5.8,0.659,0
Bobby Simmons,LAC,04_05,16.4,5.9,2.7,0.451,0
Eddy Curry,CHI,04_05,16.1,5.4,0.6,0.573,0
Manu Ginóbili,SAS,04_05,16.0,4.4,3.9,0.72,0
Ricky Davis,BOS,04_05,16.0,3.0,3.0,0.549,0
Damon Stoudamire,POR,04_05,15.8,3.8,5.7,0.329,0
Michael Finley,DAL,04_05,15.7,4.1,2.6,0.707,0
Kirk Hinrich,CHI,04_05,15.7,3.9,6.4,0.573,0
Brad Miller,SAC,04_05,15.6,9.3,3.9,0.61,0
Andrei Kirilenko,UTA,04_05,15.6,6.2,3.2,0.317,0
Steve Nash,PHO,04_05,15.5,3.3,11.5,0.756,1
Kenyon Martin,DEN,04_05,15.5,7.3,2.4,0.598,0
Caron Butler,LAL,04_05,15.5,5.8,1.9,0.415,0
Wally Szczerbiak,MIN,04_05,15.5,3.7,2.4,0.537,0
Jamaal Tinsley,IND,04_05,15.4,4.0,6.4,0.537,0
Troy Murphy,GSW,04_05,15.4,10.8,1.4,0.415,0
Lamar Odom,LAL,04_05,15.2,10.2,3.7,0.415,0
Emeka Okafor,CHA,04_05,15.1,10.9,0.9,0.22,0
Ben Gordon,CHI,04_05,15.1,2.6,2.0,0.573,0
Quentin Richardson,PHO,04_05,14.9,6.1,2.0,0.756,0
Jerry Stackhouse,DAL,04_05,14.9,3.3,2.3,0.707,0
Reggie Miller,IND,04_05,14.8,2.4,2.2,0.537,0
Tayshaun Prince,DET,04_05,14.7,5.3,3.0,0.659,0
Rasheed Wallace,DET,04_05,14.5,8.2,1.8,0.659,0
Drew Gooden,CLE,04_05,14.4,9.2,1.6,0.512,0
Jason Kidd,NJN,04_05,14.4,7.4,8.3,0.512,0
Rafer Alston,TOR,04_05,14.2,3.5,6.4,0.402,0
Lee Nailon,NOH,04_05,14.2,4.4,1.6,0.22,0
Hedo Türkoğlu,ORL,04_05,14.0,3.5,2.3,0.439,0
Matt Harpring,UTA,04_05,14.0,6.2,1.8,0.317,0
Chucky Atkins,LAL,04_05,13.6,2.4,4.4,0.415,0
Andre Miller,DEN,04_05,13.6,4.1,6.9,0.598,0
Sam Cassell,MIN,04_05,13.5,2.7,5.1,0.537,0
Ndudi Ebi,MIN,04_05,13.5,8.0,0.5,0.537,0
Mike Miller,MEM,04_05,13.4,3.9,2.9,0.549,0
Mike Dunleavy,GSW,04_05,13.4,5.5,2.6,0.415,0
Primož Brezec,CHA,04_05,13.0,7.4,1.2,0.22,0
Mehmet Okur,UTA,04_05,12.9,7.5,2.0,0.317,0
Darius Miles,POR,04_05,12.8,4.7,2.0,0.329,0
Jeff McInnis,CLE,04_05,12.8,2.1,5.1,0.512,0
Latrell Sprewell,MIN,04_05,12.8,3.2,2.2,0.537,0
Eddie Jones,MIA,04_05,12.7,5.1,2.6,0.72,0
Josh Howard,DAL,04_05,12.6,6.4,1.4,0.707,0
Morris Peterson,TOR,04_05,12.5,4.1,2.1,0.402,0
Dan Dickau,DALNOH,04_05,12.5,2.5,4.9,,0
Kenny Thomas,PHISAC,04_05,12.4,7.3,2.1,,0
Jason Terry,DAL,04_05,12.4,2.4,5.4,0.707,0
Earl Boykins,DEN,04_05,12.4,1.7,4.5,0.598,0
Raja Bell,UTA,04_05,12.3,3.2,1.4,0.317,0
Bobby Jackson,SAC,04_05,12.0,3.4,2.4,0.61,0
Tim Thomas,NYK,04_05,12.0,3.3,1.5,0.402,0
Dwight Howard,ORL,04_05,12.0,10.0,0.9,0.439,0
Marc Jackson,PHI,04_05,12.0,5.0,1.0,0.524,0
Tony Delk,ATL,04_05,11.9,2.3,1.9,0.159,0
Derek Fisher,GSW,04_05,11.9,2.9,4.1,0.415,0
Allan Houston,NYK,04_05,11.9,1.2,2.1,0.402,0
David Wesley,HOUNOH,04_05,11.9,2.8,3.3,,0
Mike James,HOUMIL,04_05,11.8,2.8,3.6,,0
Vladimir Radmanović,SEA,04_05,11.8,4.6,1.4,0.634,0
Jamaal Magloire,NOH,04_05,11.7,8.9,1.3,0.22,0
Luol Deng,CHI,04_05,11.7,5.3,2.2,0.573,0
Damon Jones,MIA,04_05,11.6,2.8,4.3,0.72,0
Ruben Patterson,POR,04_05,11.6,3.9,2.0,0.329,0
Donyell Marshall,TOR,04_05,11.5,6.6,1.2,0.402,0
Kyle Korver,PHI,04_05,11.5,4.6,2.2,0.524,0
Speedy Claxton,GSWNOH,04_05,11.5,3.0,6.0,,0
Kurt Thomas,NYK,04_05,11.5,10.4,2.0,0.402,0
Gary Payton,BOS,04_05,11.3,3.1,6.1,0.549,0
Tyronn Lue,ATLHOU,04_05,11.2,2.1,4.6,,0
Antonio Daniels,SEA,04_05,11.2,2.3,4.1,0.634,0
Keith Van Horn,DALMIL,04_05,11.2,4.7,1.2,,0
Gerald Wallace,CHA,04_05,11.1,5.5,2.0,0.22,0
Nick Van Exel,POR,04_05,11.1,3.0,4.3,0.329,0
Raef LaFrentz,BOS,04_05,11.1,6.9,1.2,0.549,0
Joe Smith,MIL,04_05,11.0,7.3,0.9,0.366,0
Udonis Haslem,MIA,04_05,10.9,9.1,1.4,0.72,0
P.J. Brown,NOH,04_05,10.8,9.0,2.2,0.22,1
Fred Jones,IND,04_05,10.6,3.1,2.5,0.537,0
Jim Jackson,HOUPHO,04_05,10.5,4.2,2.9,,0
Bonzi Wells,MEM,04_05,10.4,3.3,1.2,0.549,0
Marcus Camby,DEN,04_05,10.3,10.0,2.3,0.598,1
Corliss Williamson,PHISAC,04_05,10.3,3.6,1.1,,0
J.R. Smith,NOH,04_05,10.3,2.0,1.9,0.22,0
Bob Sura,HOU,04_05,10.3,5.5,5.2,0.622,0
Jarvis Hayes,WAS,04_05,10.2,4.2,1.7,0.549,0
Mo Williams,MIL,04_05,10.2,3.0,6.0,0.366,0
Jason Williams,MEM,04_05,10.1,1.7,5.6,0.549,0
Brevin Knight,CHA,04_05,10.1,2.6,9.0,0.22,0
Josh Childress,ATL,04_05,10.1,6.0,1.9,0.159,0
Stromile Swift,MEM,04_05,10.1,4.6,0.7,0.549,0
Luke Ridnour,SEA,04_05,10.0,2.5,5.9,0.634,0
Glenn Robinson,SAS,04_05,10.0,2.7,0.9,0.72,0
Nenad Krstić,NJN,04_05,10.0,5.3,1.0,0.512,0
Shane Battier,MEM,04_05,9.9,5.2,1.6,0.549,0
Marko Jarić,LAC,04_05,9.9,3.2,6.1,0.451,0
Chris Mihm,LAL,04_05,9.8,6.7,0.7,0.415,0
Ben Wallace,DET,04_05,9.7,12.2,1.7,0.659,0
Voshon Lenard,DEN,04_05,9.7,2.0,2.0,0.598,0
Josh Smith,ATL,04_05,9.7,6.2,1.7,0.159,0
Keith Bogans,CHA,04_05,9.6,3.1,1.8,0.22,0
Lorenzen Wright,MEM,04_05,9.6,7.7,1.1,0.549,0
Antonio McDyess,DET,04_05,9.6,6.3,0.9,0.659,0
Nenê,DEN,04_05,9.6,5.9,1.5,0.598,0
Juwan Howard,HOU,04_05,9.6,5.7,1.5,0.622,0
Jason Hart,CHA,04_05,9.5,2.7,5.0,0.22,0
Nazr Mohammed,NYKSAS,04_05,9.5,7.6,0.4,,0
Mickaël Piétrus,GSW,04_05,9.5,2.8,1.2,0.415,0
Mark Blount,BOS,04_05,9.4,4.8,1.6,0.549,0
Brendan Haywood,WAS,04_05,9.4,6.8,0.8,0.549,0
Derek Anderson,POR,04_05,9.2,2.7,3.0,0.329,0
Erick Dampier,DAL,04_05,9.2,8.5,0.9,0.707,0
Marquis Daniels,DAL,04_05,9.1,3.6,2.1,0.707,0
Chris Kaman,LAC,04_05,9.1,6.7,1.2,0.451,0
Andre Iguodala,PHI,04_05,9.0,5.7,3.0,0.524,0
Brian Cardinal,MEM,04_05,9.0,3.9,2.0,0.549,0
Matt Carroll,CHA,04_05,9.0,2.4,0.7,0.22,0
Austin Croshere,IND,04_05,8.9,5.1,1.3,0.537,0
Gordan Giriček,UTA,04_05,8.8,2.2,1.7,0.317,0
Troy Hudson,MIN,04_05,8.7,1.3,3.6,0.537,0
Jameer Nelson,ORL,04_05,8.7,2.4,3.0,0.439,0
Jason Kapono,CHA,04_05,8.5,2.0,0.8,0.22,0
Anthony Johnson,IND,04_05,8.4,2.8,4.8,0.537,0
Mike Sweetney,NYK,04_05,8.4,5.4,0.6,0.402,0
Predrag Drobnjak,ATL,04_05,8.4,3.4,0.7,0.159,0
Kareem Rush,CHALAL,04_05,8.4,1.9,1.4,,0
Andrés Nocioni,CHI,04_05,8.4,4.8,1.5,0.573,0
Bruce Bowen,SAS,04_05,8.2,3.5,1.5,0.72,0
Samuel Dalembert,PHI,04_05,8.2,7.5,0.5,0.524,0
James Posey,MEM,04_05,8.1,4.4,1.8,0.549,0
Juan Dixon,WAS,04_05,8.0,1.9,1.8,0.549,0
Othella Harrington,CHI,04_05,8.0,4.2,0.8,0.573,0
Tyson Chandler,CHI,04_05,8.0,9.7,0.8,0.573,0
Chris Wilcox,LAC,04_05,7.9,4.2,0.7,0.451,0
Keith McLeod,UTA,04_05,7.8,2.1,4.5,0.317,0
DeShawn Stevenson,ORL,04_05,7.8,1.9,1.3,0.439,0
Eric Williams,NJNTOR,04_05,7.7,3.1,1.7,,0
Earl Watson,MEM,04_05,7.7,2.0,4.5,0.549,0
Willie Green,PHI,04_05,7.7,2.3,1.8,0.524,0
Chris Andersen,NOH,04_05,7.7,6.1,1.1,0.22,0
Rodney Rogers,NOHPHI,04_05,7.7,4.2,1.5,,0
Alonzo Mourning,MIANJN,04_05,7.6,5.4,0.5,,0
Ron Mercer,NJN,04_05,7.6,2.2,1.1,0.512,0
Jumaine Jones,LAL,04_05,7.6,5.2,0.9,0.415,0
Eddie Griffin,MIN,04_05,7.5,6.5,0.8,0.537,0
Clifford Robinson,GSWNJN,04_05,7.5,2.9,1.5,,0
Darius Songaila,SAC,04_05,7.5,4.2,1.4,0.61,0
Danny Fortson,SEA,04_05,7.5,5.6,0.1,0.634,0
Brent Barry,SAS,04_05,7.4,2.3,2.2,0.72,0
Shaun Livingston,LAC,04_05,7.4,3.0,5.0,0.451,0
Devin Brown,SAS,04_05,7.4,2.6,1.4,0.72,0
