Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Jamal Crawford,NYK,05_06,14.3,3.1,3.8,0.28,0
Luol Deng,CHI,05_06,14.3,6.6,1.9,0.5,0
Tayshaun Prince,DET,05_06,14.1,4.2,2.3,0.78,0
Troy Murphy,GSW,05_06,14.0,10.0,1.4,0.415,0
Darius Miles,POR,05_06,14.0,4.6,1.8,0.256,0
Andre Miller,DEN,05_06,13.7,4.3,8.2,0.537,0
Mike Miller,MEM,05_06,13.7,5.4,2.7,0.598,0
Eddy Curry,NYK,05_06,13.6,6.0,0.3,0.28,0
Bonzi Wells,SAC,05_06,13.6,7.7,2.8,0.537,0
Nenad Krstić,NJN,05_06,13.5,6.4,1.1,0.598,0
Bobby Simmons,MIL,05_06,13.4,4.4,2.3,0.488,0
Boris Diaw,PHO,05_06,13.3,6.9,6.2,0.659,0
Jason Kidd,NJN,05_06,13.3,7.2,8.4,0.598,0
Derek Fisher,GSW,05_06,13.3,2.6,4.3,0.415,0
Emeka Okafor,CHA,05_06,13.2,10.0,1.2,0.317,0
Leandro Barbosa,PHO,05_06,13.1,2.6,2.8,0.659,0
Jerry Stackhouse,DAL,05_06,13.0,2.8,2.9,0.732,0
Charlie Villanueva,TOR,05_06,13.0,6.4,1.1,0.329,0
Andrés Nocioni,CHI,05_06,13.0,6.1,1.4,0.5,0
Kenyon Martin,DEN,05_06,12.9,6.3,1.4,0.537,0
Marcus Camby,DEN,05_06,12.8,11.9,2.1,0.537,0
Brevin Knight,CHA,05_06,12.6,3.2,8.8,0.317,0
Earl Boykins,DEN,05_06,12.6,1.4,3.8,0.537,0
Matt Harpring,UTA,05_06,12.5,5.2,1.4,0.5,0
Primož Brezec,CHA,05_06,12.4,5.6,0.6,0.317,0
Jason Williams,MIA,05_06,12.3,2.4,4.9,0.634,0
Channing Frye,NYK,05_06,12.3,5.8,0.8,0.28,0
Shareef Abdur-Rahim,SAC,05_06,12.3,5.0,2.1,0.537,0
Jalen Rose,NYKTOR,05_06,12.3,2.9,2.5,,0
Juan Dixon,POR,05_06,12.3,2.3,2.0,0.256,0
Andre Iguodala,PHI,05_06,12.3,5.9,3.1,0.463,0
Speedy Claxton,NOK,05_06,12.3,2.7,4.8,0.463,0
Antoine Walker,MIA,05_06,12.2,5.1,2.0,0.634,0
T.J. Ford,MIL,05_06,12.2,4.3,6.6,0.488,0
Mo Williams,MIL,05_06,12.1,2.5,4.0,0.488,0
Ruben Patterson,DENPOR,05_06,12.1,3.4,1.8,,0
Rafer Alston,HOU,05_06,12.1,4.0,6.7,0.415,0
Chris Kaman,LAC,05_06,11.9,9.6,1.0,0.573,0
Raymond Felton,CHA,05_06,11.9,3.3,5.6,0.317,0
Eddie Jones,MEM,05_06,11.8,3.7,2.4,0.598,0
Juwan Howard,HOU,05_06,11.8,6.7,1.4,0.415,0
Delonte West,BOS,05_06,11.8,4.1,4.6,0.402,0
Damon Stoudamire,MEM,05_06,11.7,3.5,4.7,0.598,0
Zaza Pachulia,ATL,05_06,11.7,7.9,1.7,0.317,0
Luke Ridnour,SEA,05_06,11.5,3.0,7.0,0.427,0
Mike Dunleavy,GSW,05_06,11.5,4.9,2.9,0.415,0
Smush Parker,LAL,05_06,11.5,3.3,3.7,0.549,0
Kyle Korver,PHI,05_06,11.5,3.3,2.0,0.463,0
Bobby Jackson,MEM,05_06,11.4,3.1,2.7,0.598,0
Mark Blount,BOSMIN,05_06,11.3,4.5,1.2,,0
Josh Smith,ATL,05_06,11.3,6.6,2.4,0.317,0
Ronald Murray,CLESEA,05_06,11.2,2.0,2.6,,0
Tyronn Lue,ATL,05_06,11.0,1.6,3.1,0.317,0
DeShawn Stevenson,ORL,05_06,11.0,2.9,2.0,0.439,0
Desmond Mason,NOK,05_06,10.8,4.3,0.9,0.463,0
Kevin Martin,SAC,05_06,10.8,3.6,1.3,0.537,0
Deron Williams,UTA,05_06,10.8,2.4,4.5,0.5,0
Drew Gooden,CLE,05_06,10.7,8.4,0.7,0.61,0
Gordan Giriček,UTA,05_06,10.6,1.9,1.7,0.5,0
Jumaine Jones,CHA,05_06,10.5,4.9,0.8,0.317,0
Tim Thomas,CHIPHO,05_06,10.3,4.5,0.7,,0
Chris Mihm,LAL,05_06,10.2,6.3,1.0,0.549,0
Marquis Daniels,DAL,05_06,10.2,3.6,2.8,0.732,0
Michael Finley,SAS,05_06,10.1,3.2,1.5,0.768,0
Shane Battier,MEM,05_06,10.1,5.3,1.7,0.598,0
Kareem Rush,CHA,05_06,10.1,2.2,1.1,0.317,0
Josh Childress,ATL,05_06,10.0,5.2,1.8,0.317,0
Marcus Banks,BOSMIN,05_06,10.0,2.3,3.8,,0
Devin Harris,DAL,05_06,9.9,2.2,3.2,0.732,0
David Wesley,HOU,05_06,9.9,2.5,2.9,0.415,0
Eddie House,PHO,05_06,9.8,1.6,1.8,0.659,0
Melvin Ely,CHA,05_06,9.8,4.9,1.3,0.317,0
Vladimir Radmanović,LACSEA,05_06,9.8,4.6,1.8,,0
Salim Stoudamire,ATL,05_06,9.7,1.9,1.2,0.317,0
Antonio Daniels,WAS,05_06,9.6,2.2,3.6,0.512,0
Fred Jones,IND,05_06,9.6,2.5,2.3,0.5,0
Chucky Atkins,MEMWAS,05_06,9.5,1.7,2.8,,0
Troy Hudson,MIN,05_06,9.5,1.2,2.9,0.402,0
Sebastian Telfair,POR,05_06,9.5,1.8,3.6,0.256,0
Keyon Dooling,ORL,05_06,9.4,1.6,2.2,0.439,0
Andrew Bogut,MIL,05_06,9.4,7.0,2.3,0.488,0
Udonis Haslem,MIA,05_06,9.3,7.8,1.2,0.634,0
Jarvis Hayes,WAS,05_06,9.3,3.6,1.3,0.512,0
James Jones,PHO,05_06,9.3,3.4,0.8,0.659,0
Nate Robinson,NYK,05_06,9.3,2.3,2.0,0.28,0
Jamaal Tinsley,IND,05_06,9.3,3.2,5.0,0.5,0
Donyell Marshall,CLE,05_06,9.3,6.1,0.7,0.61,0
Mickaël Piétrus,GSW,05_06,9.3,3.1,0.8,0.415,0
Trenton Hassell,MIN,05_06,9.2,2.8,2.6,0.402,0
Anthony Johnson,IND,05_06,9.2,2.2,4.3,0.5,0
Jamaal Magloire,MIL,05_06,9.2,9.5,0.7,0.488,0
Darius Songaila,CHI,05_06,9.2,4.0,1.4,0.5,0
Kenny Thomas,SAC,05_06,9.1,7.5,2.0,0.537,0
P.J. Brown,NOK,05_06,9.0,7.3,1.2,0.463,0
Keith Van Horn,DAL,05_06,8.9,3.6,0.7,0.732,0
Earl Watson,DENSEA,05_06,8.9,2.3,4.1,,0
Stromile Swift,HOU,05_06,8.9,4.4,0.4,0.415,0
Bracey Wright,MIN,05_06,8.9,2.6,0.7,0.402,0
Luther Head,HOU,05_06,8.8,3.3,2.7,0.415,0
Chris Duhon,CHI,05_06,8.7,3.0,5.0,0.5,0
Rasual Butler,NOK,05_06,8.7,2.9,0.5,0.463,0
Amar'e Stoudemire,PHO,05_06,8.7,5.3,0.7,0.659,0
Keith Bogans,CHAHOU,05_06,8.6,3.5,1.8,,0
Joe Smith,MIL,05_06,8.6,5.2,0.7,0.488,0
Kurt Thomas,PHO,05_06,8.6,7.8,1.1,0.659,0
Marvin Williams,ATL,05_06,8.5,4.8,0.8,0.317,0
Charlie Bell,MIL,05_06,8.4,2.0,2.2,0.488,0
Steve Blake,POR,05_06,8.2,2.1,4.5,0.256,0
Sean May,CHA,05_06,8.2,4.7,1.0,0.317,0
Quentin Richardson,NYK,05_06,8.2,4.2,1.6,0.28,0
Austin Croshere,IND,05_06,8.2,5.3,1.2,0.5,0
Chris Wilcox,LACSEA,05_06,8.1,5.3,0.7,,0
Derek Anderson,HOUMIA,05_06,8.1,3.3,2.3,,0
Mike Sweetney,CHI,05_06,8.1,5.3,0.9,0.5,0
Kirk Snyder,NOK,05_06,8.0,2.4,1.5,0.463,0
Rashad McCants,MIN,05_06,7.9,1.8,0.8,0.402,0
Brian Cook,LAL,05_06,7.9,3.4,0.9,0.549,0
Tony Battie,ORL,05_06,7.9,5.6,0.6,0.439,0
Al Jefferson,BOS,05_06,7.9,5.1,0.5,0.402,0
Alonzo Mourning,MIA,05_06,7.8,5.5,0.2,0.634,0
Marko Jarić,MIN,05_06,7.8,3.1,3.9,0.402,0
Raef LaFrentz,BOS,05_06,7.8,5.0,1.4,0.402,0
Antonio McDyess,DET,05_06,7.8,5.3,1.1,0.78,0
Gary Payton,MIA,05_06,7.7,2.9,3.2,0.634,0
J.R. Smith,NOK,05_06,7.7,2.0,1.1,0.463,0
Matt Carroll,CHA,05_06,7.6,2.0,0.4,0.317,0
Tony Delk,ATLDET,05_06,7.6,2.2,1.4,,0
Ryan Gomes,BOS,05_06,7.6,4.9,1.0,0.402,0
Bruce Bowen,SAS,05_06,7.5,3.9,1.5,0.768,0
John Salmons,PHI,05_06,7.5,2.7,2.7,0.463,0
Devin Brown,UTA,05_06,7.5,2.6,1.3,0.5,0
